""	"Samp01"	"Samp02"	"Samp03"	"Samp04"	"Samp05"	"Samp06"	"Samp07"	"Samp08"	"Samp09"	"Samp10"	"Samp11"	"Samp12"	"Samp13"	"Samp14"	"Samp15"	"Samp154"	"Samp155"	"Samp156"	"Samp157"	"Samp158"	"Samp159"	"Samp16"	"Samp160"	"Samp161"	"Samp162"	"Samp163"	"Samp164"	"Samp165"	"Samp166"	"Samp167"	"Samp17"	"Samp18"	"Samp19"	"Samp20"	"Samp21"	"Samp22"	"Samp23"	"Samp24"	"Samp25"	"Samp26"	"Samp27"	"Samp28"	"Samp29"	"Samp34"	"Samp35"	"Samp36"	"Samp37"	"Samp38"	"Samp39"	"Samp40"	"Samp88"	"Samp89"	"Samp90"	"Samp91"
"ASV1389"	0	0.00498310810810811	0	0	0.000169836956521739	8.42886041807148e-05	0	0	0	0	0	0	0	0.000252461499621308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00619694397283531	0.000852151682999574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135192226446979	0
"ASV1390"	0	0.00109797297297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1415"	0	0.000760135135135135	0	0	0	0	0	0	0	0.000253421186011151	0.00042083999663328	0	0	0.000168307666414205	0.000168548794876117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168747890651367	0	0	0	0	0	0	0	0	0	0.000930547331021064	0.000421869726628417	0	0.00016857720836143	0	0	0	0	0	0	0	0.000337980566117448	0
"ASV1417"	0	0	0	0	0	0.000421443020903574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000592718035563082	0.000255102040816327	0	0	0
"ASV1446"	0.00160649361630168	0	0.000680619363620895	0.00119525313753949	0.0180876358695652	0.000590020229265003	0.000841963458785889	0.847701633271595	0.689420082484639	0	0	0.0129092136348296	0.00496173576654613	0	0.0197202090005056	0	0.0619171637402336	0	0.0612878851481824	0	0.00117736102934993	0.00143230263712191	0	0.00436607892527288	0.126521702627823	0	0	0.296972245584525	0	0.00293994120117598	0.0035472972972973	0.00261559230509619	0.00748654104979812	0.0117716303708064	0.00134363453140746	0	0.00127822752449936	0.00383795309168444	0.00178026449643947	0.00101591601760921	0	0.000338380847644023	0.0142591967600405	0.00314305130818892	0.0375927174645988	0	0.000422904508162057	0	8.40265523905554e-05	0.000169348010160881	0.00595238095238095	0.00523339242002195	0	0.15104210615138
"ASV1450"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261559230509619	0	0	0	0	0.000511291009799744	0	0	8.46596681341009e-05	0	0	0	0	0	0	0	0	0	0.00279424216765453	0.00119047619047619	0	0	0
"ASV1492"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153061224489796	0	0	0
"ASV1500"	0	0	0	0	0	0	0	0	0.000336671997306624	0.000253421186011151	0	0	0.00731645782524598	0.000925692165278128	0.000168548794876117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167897918065816	0	0.00135135135135135	0.00025312183597705	0.000168236877523553	0.00134532918523501	0.000335908632851864	0	0.00110779718789945	0	0.00754493048491014	0.000338638672536404	0.00874537504204507	0.00152271381439811	0	0.00101936799184506	0.0016857720836143	0.000420450723175244	0	0	0	0	0.000170068027210884	0	0	0.00168762129778078
"ASV1518"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252759288903867	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00365025466893039	0	0.0115138592750533	0.00364530349270939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1533"	0	0	0	0	0	0	0	0	0	0	0	0.000168747890651367	0	0.00227215349659177	0.000168548794876117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362807964900439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065198983911939	0.000935374149659864	0	0	0
"ASV1556"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230277185501066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV1566"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102345415778252	0	0	0	0	0	0	0.000337154416722859	0	0	0	0	0	0	0	0	0
"ASV1568"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126379644451934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000844951415293621	0
"ASV1580"	0	0	0	0	0.0381283967391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
