Reactor	Time	Cell_number
L5	62	2157816843
L5	63	1797321868
L5	64	3159655208
L5	65	3780012912
L5	66	3861010482
L5	67	4291165998
L5	68	4245535788
L5	69	3964965258
L5	70	4274766490
L5	71	3370398885
L5	72	5946516336
L5	76	5333145264
L5	79	5605726560
L5	82	5957694948
L5	83	2175300529
L5	85	6933107790
L5	86	5460930904
L5	89	6499668162
L5	90	3795454554
L5	91	2169977004
L5	92	1649400517
L5	93	1542558985
L5	96	910677942
L5	97	917940882
L5	98	1141852586
L5	99	1381695390
L5	100	2517208692
L5	103	1474155774
L5	104	1607557035
L5	105	1489565838
L5	106	1824150537
L5	107	2350571586
R	12	796823463
R	13	1250457222
R	14	915750000
R	15	838131250
R	16	687101250
R	19	980875836
R	20	1008553953
R	21	1107464144
R	23	1552595526
R	26	2035044210
R	27	1679728554
R	28	699500067
R	29	1485823845
R	30	1730774391
R	33	2126588832
R	34	1208647950
R	35	1345475424
R	36	1166238696
R	37	1360317084
R	40	1038158328
R	41	1438156854
R	43	1265630451
R	44	1461887721
R	47	1067762703
R	48	675216585
R	49	1871170179
R	50	1925026458
R	51	1784820138
R	54	1012261210
R	55	1444188252
R	56	2593606400
R	57	2361166005
R	58	2612479518
R	61	2902981329
R	62	1654422734
R	63	1798562884
R	64	2701634738
R	65	3139390026
R	66	3576682170
R	67	3709246614
R	68	3178988838
R	69	4074414606
R	70	4117508050
R	71	5328308567
R	72	6207129570
R	76	5325124452
R	79	4666881042
R	82	5595116352
R	83	3672876653
R	85	7131938667
R	86	5287743995
R	89	6269796111
R	90	4836896994
R	91	2207049576
R	92	1435399042
R	93	1316313141
R	96	972381354
R	97	886994442
R	98	927995844
R	99	1146597180
R	100	1118176980
R	103	1718237925
R	104	1869686013
R	105	1914668874
R	106	1839702702
R	107	1750131705
