"Sample","Reactor","Time","Phase","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","OD","pH","EC","CODt","CODs","CODb","Ammonium","PHOs","PHOt","Dry_weight","Cell_number"
"20191021L1","L1",12,"Closing-I",0.020085675,0.026516286,0.053781479,0.000793841,0.003689613,0.00213688,0.000763885,0.000104847,0.019132067,0.009690851,0.009176602,0.061250574,0.003005612,0.004064066,0.009171609,0.003305174,0.011338446,0.095111138,0.038154295,0.006590378,0.000459329,0.006190961,0.001742456,0.073792263,0.001392966,0.000264614,0.000409402,9.98542e-06,0.007469095,0.006220917,0.002366545,0.01539752,0.001328061,0.001023506,0.00040441,0.000134803,3.4949e-05,0.003919278,0.006350728,0.009800691,0.061255567,0.011223614,0.003000619,0.003484912,0.000918659,0.001697522,0.000659038,0.003774489,0.00149282,0.005791544,0.035882611,0.001328061,0.001462864,0.001922194,0.001183272,0.002231742,0.03180856,0.000289577,0.001193258,0.006570407,0.000369461,0.156985801,0.000449344,0.029936293,0.00034949,8.98688e-05,4.99271e-06,4.99271e-06,1.99708e-05,0.000364468,0.000324526,0.000399417,0.001597667,0.000788848,0.001847303,2.99563e-05,0.000649052,0.000134803,0.011633016,0.004288738,0.414666667,7.866666667,1151.666667,NA,NA,NA,NA,NA,NA,NA,1013085396
"20191022L1","L1",13,"Closing-I",0.020875982,0.012083204,0.004548677,0.005926762,0.009681543,0.003065739,0.001982245,0.001243272,0.012512607,0.011873496,0.007499576,0.011738683,0.003774753,0.001537862,0.003355336,0.002746183,0.021250462,0.027651564,0.108074776,0.054204656,0.003824684,0.008997493,0.001143411,0.065993269,0.002940912,0.001577807,0.001118445,2.49653e-05,0.002965877,0.008233555,0.00412926,0.008797771,0.000214702,0.001862411,7.9889e-05,0.0003595,1.99722e-05,0.007494583,0.00571206,0.015653242,0.001333147,0.003570038,0.0015828,0.005946734,0.003050759,0.002915947,0.002781134,0.019737565,0.001457973,0.003205544,0.213308501,0.001707626,0.002087099,0.002531481,0.00207212,0.003505128,0.01641718,0.001797501,0.001228293,0.004104295,0.000908737,0.068804362,0.002526488,0.017550605,0.000928709,3.49514e-05,9.98612e-06,7.48959e-05,2.99584e-05,0.001657696,0.00109348,0.001927321,0.007948951,0.004054364,0.000414424,7.9889e-05,0.001952286,0.000419417,0.031411338,0.001218307,0.430666667,7.846666667,1162.666667,691,112,579,26,55.95488239,68.46670169,NA,1234194552
"20191023L1","L1",14,"Closing-I",0.013398009,0.002332912,0.044040584,0.031316971,0.018618337,0.002063153,0.002832465,0.013018349,0.009136823,0.008057788,0.003312036,0.013303094,0.004635851,0.001268864,0.00165352,0.000934164,0.014062414,0.135308899,0.037656298,0.003671714,0.000164852,0.007393383,0.00046958,0.136008273,0.00288242,0.015226372,0.008302569,5.99463e-05,0.009791237,0.006239416,0.002842456,0.047442539,0.001398748,0.00184335,0.000109902,0.003601776,4.99553e-05,0.006763946,0.00411132,0.010380709,0.03848056,0.006903821,0.003227112,0.002297943,0.003037282,0.002272966,0.004066361,0.000274754,0.001533627,0.001968238,0.05637954,0.002203028,0.003002313,0.003386969,0.002292948,0.002852447,0.016710045,0.001333806,0.001443708,0.029838295,0.000864227,0.018783189,0.000824262,0.020786396,0.000689383,5.49508e-05,0.000149866,0.000284745,0.002307934,0.001628542,0.000959142,0.001114003,0.002497765,0.002797496,0.001283851,0.000459589,0.001288846,0.000269759,0.020276852,0.002872429,0.451,7.896666667,1183,NA,NA,NA,NA,NA,NA,NA,1158368400
"20191024L1","L1",15,"Closing-I",0.005131961,0.002097627,0.029959692,0.062609926,0.01685077,0.000871935,0.002142469,0.019815349,0.004344728,0.005226628,0.002690543,0.01302422,0.004319816,0.000777268,0.001175867,0.000577968,0.010418379,0.13635571,0.03508667,0.0065719,0.000114597,0.003771742,0.00017937,0.142613713,0.001335306,0.024135165,0.014902617,0.000169405,0.008589807,0.002396576,0.001106112,0.041045724,0.000916778,0.000891865,7.47373e-05,0.003966059,0.000852005,0.003193774,0.003801637,0.007917171,0.018898572,0.005356173,0.001634256,0.002580928,0.00184352,0.001175867,0.003841497,0.000503231,0.000891865,0.001494746,0.081832359,0.000956637,0.001753835,0.001609343,0.001136007,0.000911795,0.020213948,0.001300429,0.001255587,0.013781558,0.000358739,0.028738982,0.002914755,0.034747861,0.000269054,0.000503231,0.00084204,0.000328844,0.003009422,0.000986532,0.000493266,0.000468354,0.00354753,0.006467268,0.000956637,0.000373686,0.000652706,0.003158896,0.014359526,0.002436436,0.436666667,7.85,1189.333333,NA,NA,NA,NA,NA,NA,0.333333333,1144935000
"20191025L1","L1",16,"Closing-I",0.003398682,0.006667796,0.07806006,0.003224263,0.001564789,0.000652826,0.000598009,0.001176084,0.009568138,0.004574766,0.003488384,0.006847199,0.00251662,0.001365453,0.003189379,0.001619607,0.011925289,0.025549919,0.046400486,0.008775777,0.000124585,0.003049844,0.000528241,0.193206622,0.001205984,0.001734225,0.002377084,2.4917e-05,0.002416952,0.001848843,0.000528241,0.037250954,0.00090698,0.00046844,1.49502e-05,0.001958478,0.000144519,0.001833893,0.00389204,0.009986744,0.036329024,0.006772448,0.003343865,0.002965126,0.001878744,0.000827245,0.003652836,0.002018279,0.000827245,0.002710972,0.10345051,0.000901996,0.001230901,0.001270768,0.000966781,0.000294021,0.035023372,0.001370436,0.000333888,0.009149532,0.000583058,0.08452852,0.001714291,0.074043435,0.000403656,0.000588042,0.002392035,0.000229237,5.98009e-05,0.000986714,0.000368772,0.000518274,0.002990043,0.003737554,0.001923594,0.000189369,0.000528241,0.000523258,0.027458563,0.003911973,0.365333333,7.85,1212.333333,665,85,580,32.75,59.29171834,63.83684718,NA,458755000
"20191028L1","L1",19,"Closing-I",0.00639612,0.041983895,0.077257352,0.073305926,0.012642566,0.02040572,0.001182434,0.019991618,0.044603211,0.024382091,0.071449954,0.003193071,0.002484608,0.001262261,0.00814732,0.002190247,0.010402427,0.045665905,0.007733219,0.004999152,4.98917e-05,0.017851263,0.001077661,0.076788369,0.002459663,0.01768662,0.013680314,0.000229502,0.00482952,0.030982767,0.002245128,0.042472834,0.013176407,0.002429727,0.001980702,0.002788948,0.000109762,0.003507389,0.007458814,0.007818035,0.032823772,0.005503058,0.004420408,0.007084626,0.00271411,0.012722392,0.0027191,0.000104773,0.000893062,0.015321752,0.010661864,0.001362044,0.002070507,0.002285041,0.002000659,0.001337098,0.003567259,0.00144686,0.000354231,0.003652075,0.001237315,0.005213686,0.002225171,0.015321752,0.001157488,4.98917e-05,3.99134e-05,1.99567e-05,0.002065518,0.001516709,0.001127553,0.001162477,0.004520191,0.004340581,0.002090464,0.000374188,0.001471806,0.000384166,0.024556712,0.004450343,0.441666667,7.936666667,1137.666667,NA,NA,NA,NA,NA,NA,NA,1806687903
"20191029L1","L1",20,"Closing-I",0.004585254,0.10600029,0.064543198,0.047820506,0.013840675,0.025648454,0.012931616,0.008601098,0.084812219,0.009280395,0.077225072,0.021412838,0.002062865,0.007811915,0.013141399,0.009215462,0.006333445,0.065672029,0.004645192,0.007821904,0.000169824,0.010748875,0.019614699,0.027241805,0.002252668,0.011068544,0.005424386,5.49431e-05,0.005104717,0.035233533,0.001273682,0.009255421,0.005409401,0.000988976,0.003296588,0.000799173,7.49225e-05,0.002477436,0.012462102,0.003456423,0.049973278,0.003940921,0.003061831,0.003051841,0.001708232,0.00162332,0.002157767,0.000359628,0.000494488,0.047136214,0.002882017,0.001078883,0.00147847,0.001388563,0.00131364,0.001873061,0.002317601,0.000794178,0.000544437,0.002112813,0.000669307,0.026837223,0.000929038,0.011223384,0.0005794,7.49225e-05,4.99483e-06,4.99483e-06,7.49225e-05,0.000859111,0.00072425,0.000998966,0.001843092,0.001698242,0.002117808,8.99069e-05,0.000949018,0.000139855,0.006268512,0.003066826,0.402666667,7.816666667,1160.333333,630,220,410,27,57.45487116,61.64971751,NA,1648071609
"20191030L1","L1",21,"Closing-I",0.004091768,0.106141148,0.051589244,0.054541912,0.017960811,0.028432538,0.019609508,0.009657371,0.091058064,0.00825348,0.082634719,0.015317899,0.003167498,0.006419928,0.012170385,0.009757292,0.005026029,0.065003647,0.003777016,0.007723898,0.00018985,0.010311854,0.021498017,0.023761229,0.002807782,0.014273724,0.007264261,7.49408e-05,0.006155137,0.039024171,0.001748619,0.006624766,0.003277411,0.000889297,0.002837758,0.001184065,0.000154878,0.002562975,0.01601235,0.00336734,0.029961331,0.003577174,0.002752825,0.002498027,0.002677884,0.001209045,0.003372336,0.000254799,0.000479621,0.060781982,0.001473836,0.001338942,0.001963449,0.001408887,0.00184854,0.001908492,0.001688666,0.001134104,0.000564554,0.002133315,0.00070944,0.021932673,0.000874309,0.013034703,0.000689455,6.99447e-05,1.49882e-05,4.99605e-06,0.000184854,0.001393899,0.001124112,0.001293978,0.001663686,0.001668682,0.001313962,0.000229818,0.001169076,0.000229818,0.005315801,0.00246805,0.376333333,7.8,1166.666667,NA,NA,NA,NA,NA,NA,0.183333333,1865355880
"20191101L1","L1",23,"Closing-I",0.004782872,0.154106423,0.012004658,0.116643094,0.00842625,0.027007981,0.022974776,0.018711673,0.075581366,0.016757543,0.081338804,0.014958344,0.003628385,0.007251773,0.009710679,0.022130152,0.002363948,0.029067065,0.004273098,0.00829131,0.000249889,0.005227674,0.029861712,0.011200016,0.001919146,0.022320068,0.011514876,0.000119947,0.003793312,0.045229873,0.001134495,0.007841511,0.001054531,0.000844624,0.001274433,0.001364393,0.000184918,0.002523877,0.023384594,0.001574299,0.007616611,0.002029097,0.001429364,0.001279431,0.001664259,0.001554308,0.002953686,6.49711e-05,0.000529764,0.088955415,0.000769658,0.0004498,0.000839626,0.000894602,0.001029542,0.003013659,0.001389382,0.000869613,0.000439804,0.001339404,0.00040482,0.006477118,0.000329853,0.009110946,0.000344847,3.49844e-05,1.49933e-05,1.49933e-05,0.000129942,0.001179475,0.000694691,0.000729675,0.001014549,0.000744669,0.000964571,0.00026988,0.000829631,0.000204909,0.00357341,0.001719235,0.364333333,7.873333333,1173,711,308,403,27.75,58.94997933,69.50971476,NA,1462156134
"20191104L1","L1",26,"Recycle-10%",0.005878126,0.16603461,0.034051217,0.006062753,0.009785234,0.00253488,0.00250993,0.00189617,0.014321071,0.010723339,0.020483623,0.002230494,0.010169458,0.00061875,0.003942037,0.027314824,0.031641085,0.035802679,0.024325862,0.11026227,0.03946029,0.009525758,0.000568851,0.064090537,0.002015928,0.001531906,0.007295264,0.000708569,0.010438913,0.004630646,0.002934073,0.043771581,0.001571825,0.000778428,0.000498992,0.003388156,0.00123251,0.002465021,0.023223089,0.006786292,0.00686613,0.004441029,0.003802319,0.002130696,0.001392188,0.001367238,0.004001916,0.010823137,0.000803377,0.011057664,0.043946229,0.00060877,0.001047883,0.001182611,0.001152672,0.001152672,0.00312868,0.000988004,0.000688609,0.002894154,0.000753478,0.023218099,0.00061376,0.03948025,0.000783417,0.001007964,0.001142692,0.000718549,0.000204587,0.001941079,0.000459073,0.000429133,0.000733518,0.001706553,0.003278378,0.000484022,0.000713559,0.000464063,0.004490928,0.004515878,0.330666667,7.93,1251.666667,572,288,284,19,60.23150062,73.57640898,NA,1305118740
