"Sample","Reactor","Time","Phase","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80"
"20200114L2","L2",97,"Closing-II",52802630.6818084,55545404.6668887,132020714.988949,11632752.2592572,6220722.91540846,1917113.79313444,1080143.65271826,5689133.83334884,107963481.255687,3166913.46362999,15772360.9038826,2222494.85149099,14234145.6636295,1232834.18189654,8279217.28925086,57383345.4253696,19080654.9482206,56257959.7151959,9568603.47707316,30832166.759458,1606077.19464917,28185532.4294173,1006626.15819347,84087214.6204596,4563749.25496222,7668455.17253774,4179195.16195217,441106.098935814,4699474.29554148,1962355.85058989,774762.594361704,147374591.954411,2047183.29358499,1374214.7626045,11310.4011851532,3155603.51515968,435450.558807108,4682507.67515536,5824858.87392809,3930366.10952138,10903231.7223509,2754083.93355061,2471323.90392178,4942647.80784356,3263051.98688251,2273391.31728805,9608189.99439991,288415.569757536,7397005.09137923,8205699.79472607,1148006.73890144,752141.565633978,1736147.82688682,1719181.20650071,2177252.79403554,1419455.68827286,1442076.71700058,1894492.76440671,1261110.75075297,1968010.2589315,1300697.26807972,2160287.30543652,656003.042381466,46044663.1442116,1306351.67642132,118759.551980238,96138.4100738022,56552.005925766,1125385.71017371,2154632.89709491,1453386.6654709,1979321.33918891,3540157.60816973,1097109.14131728,4032160.1729026,927453.123539982,2567462.42717429,339312.035554596,12300066.381896,3630640.59129353
"20200115L2","L2",98,"Closing-II",144948308.394038,81796992.4573726,155668763.568365,64799375.5580953,25124804.8067834,10405384.8812483,2593267.26682098,22790055.9670648,221284089.983684,9847954.06804937,32743032.3881921,3449612.08303899,28687517.3879301,1179491.63740405,20487621.324388,38083062.9958585,15284928.8837639,115339817.795806,5154220.33660011,16755254.7622346,484722.657162864,53610354.016665,1494561.9304828,40054271.0553968,8886586.89875347,20164472.8862794,8393784.47963824,1090627.19130835,18451784.8707659,6479129.9029988,3223407.85297848,70074776.1547555,13588398.7752326,3514240.47712267,16157.4380746542,6454893.85098678,630140.586157504,7618229.19833118,12085758.6997199,4572553.47138918,17110719.0143076,3255722.05002032,1656136.14953709,3764680.7591952,6115587.50589602,4669497.67943725,9597513.78597685,258518.427102352,11189019.9245077,22111443.2768832,1034075.32533195,1179491.63740405,2665975.42285702,2455929.0997787,2504401.20380274,3328430.20605637,1494561.9304828,4726047.9284911,4556395.56440699,2439772.80971906,1147177.44036221,1413775.62941693,2027758.30859224,35724078.1041278,1034075.32533195,339306.345090768,145416.797148859,145416.797148859,3215328.09102611,6220611.47589645,3417296.26907461,4338269.4793763,6204453.56891426,4217089.21931622,3966648.9372437,2310512.78770661,2884101.50788771,2051994.36060426,15244534.9247696,2835629.40386368
"20200116L2","L2",99,"Closing-II",239669092.444418,22635415.2226708,543249.88001466,7626802.94814723,48242724.7145388,52439597.7587702,6124876.80928317,18406586.3031445,356744781.077288,54538034.2808859,74904580.2243771,11291077.3597169,40754396.5149245,3685579.03951169,6593563.69135487,3110371.15096605,28163781.6487024,25724481.7456949,17628994.048712,11344337.8629539,468686.882071707,50990929.9899071,3429932.03715185,11184558.486479,11120646.735889,17479865.9195901,1395407.26562613,5485759.30338357,49691392.4834019,47433176.5848113,7861145.32256508,67884938.9068345,1256930.38385721,9075468.58377432,21303.9239741067,9416331.96466611,3461887.91244683,65381727.2532371,84480691.5655181,91830545.0165995,170431.263798693,5581626.92926851,3302108.53597193,4058396.16246246,25756437.6209899,12111278.8700334,52833719.5096629,372819.256186767,18427890.9310865,111185154.198004,7605498.32020524,4207524.29158437,4282087.28952732,10950213.9788251,8191357.45610387,10247184.7223356,54644553.1541238,17320086.5431152,14369492.635388,6348567.93634803,2577774.65154039,639117.5058996,5975748.68016126,351514.62824478,1938657.14564079,1427363.14092111,1054543.88473434,948025.011496407,12175190.6206234,15690336.9030712,5592278.1766215,7104857.69607455,7445718.94373034,8010273.45168699,319558.7529498,6295307.43311106,5656189.92721146,3632318.53627473,8809170.33406149,1991915.51564175
"20200117L2","L2",100,"Closing-II",200232894.741101,1865073.25665,306808.59467655,6846672.6020808,113511058.145829,24367051.0739052,29316356.9913258,11529539.9450037,108392202.025857,70695129.4590676,27144475.1399992,7242294.5941176,30624329.7928067,1525967.99879715,1711668.1505202,444065.3692182,7032372.75380385,40321091.5267536,6418755.56445075,2987345.9064078,169551.8201349,17173199.856969,855834.0752601,4699014.056928,8130423.71497095,11206583.018739,968869.16121105,3487928.00980995,84864836.6956238,36502133.2336764,7597546.56597555,37939289.4526964,1356416.17866225,6935485.99944105,32295.69262647,5579069.8207788,2341433.67146145,18763759.5645357,122053252.184425,13443054.961252,64591.223494635,6184612.0355463,2809719.1116873,4900860.92265615,20766089.5957274,7419919.77125505,46061639.8106648,64591.223494635,22921821.4978827,95344767.4390587,1453302.93302505,5595218.15236695,4779752.47970265,10810961.0267022,5280334.5831048,9123514.5647727,24455864.4712655,12651812.5947615,30374037.932314,5619439.84095765,2341433.67146145,234143.52890445,6426830.53903635,734725.6323066,2050771.79079,823539.02966685,678208.89812265,1227234.3787062,9276919.6709025,14589549.2996006,8526045.70700775,9462619.82262555,11141991.3099695,11255026.3959204,500582.10340215,3318376.18967505,6499495.60480845,2761275.7345059,15106279.7345908,2414098.73723355
"20200120L2","L2",103,"Closing-II",738845231.083539,21884364.2307081,15404246.7664275,118094571.492862,17638771.4759646,26018234.2444556,6033212.52237322,42846990.687937,142925716.669426,21297803.066971,87481598.347919,104868985.269889,143288826.760002,23211115.1115981,8309634.65757611,10167082.5361206,36953434.3873935,41771624.361042,3449544.46267723,36799811.425147,209486.569212275,53935813.7931215,17177899.7936404,2304352.82045193,53893916.3674556,37190852.2009717,10055356.9995399,6843227.55485637,9524657.20630084,27945510.233915,3924382.88541823,4594738.90048707,17568940.5694651,9887767.29687657,2611598.74494504,16521507.7234038,3491441.88834306,27177392.6270976,24747350.3252327,20515718.7197369,3924382.88541823,5390787.19255342,1899345.30421036,6843227.55485637,53796154.7757072,16591338.6299032,70457321.5165252,125691.997439056,78571435.7861889,70974057.3649321,1410542.93663711,8044286.15874885,16730994.8517329,14231121.6433686,15334418.6555126,10153115.7957038,1955209.47029299,32051446.7668288,14007670.5702072,9161547.1157251,3156265.27860092,321212.6649099,14817685.6026903,1187091.86347568,2346250.24611777,1508304.52838558,1606063.3245495,3435580.51784498,13700421.8501295,37274647.0523034,19342593.596678,21856433.5454591,22568689.7817783,20431923.8684052,279315.518802518,9538623.94671763,13044032.5754775,7485652.88467617,21996092.5628734,307245.924493104
"20200121L2","L2",104,"Closing-II",1060955065.41778,10700939.4957472,8933435.75889216,58026224.9191273,12660266.407029,12797284.1360633,15770526.8774682,26430362.9750964,52847023.9029192,21484091.275136,27485384.9470403,57546669.726762,158225938.339974,12509549.374423,5398425.54148029,2260760.97649385,15688317.3375284,15839037.1138363,2329271.21286194,9330781.4113176,260330.118352672,31541056.4986383,6823391.81500431,2356672.56370728,34295074.714771,26265943.8952168,9426692.99853103,4932572.39638866,10769446.9884133,21785525.340348,9234869.82410417,5247708.50887429,16085662.9899538,7741396.05791396,1383860.13170317,11235302.8772069,4083072.90244331,22539113.2470799,26033017.322671,9262273.91865141,1904521.46588927,3877550.42444474,2562197.78540776,10262490.4452028,38200026.4900611,12934299.1213957,128192057.654799,109612.811376478,78468993.5258911,42241995.9943854,1123529.46461012,6905601.35494412,10920166.7647212,12975402.5195146,10207682.2561083,14729206.9527979,986514.479277732,26622186.1495232,33938832.4604645,4494120.60214237,2548495.73813414,205523.849849527,12879493.6760031,1041319.92467031,2754018.21613272,2055238.49849527,2452584.15092071,5754667.79578677,11701156.0222985,26896216.120188,15619809.8448622,19264433.6967611,28362288.5355329,27266160.4217681,753587.906731917,6206818.89360478,11166795.3845407,5234006.46160067,67713248.5847513,643974.27224487
"20200122L2","L2",105,"Closing-II",1146975585.21629,17472087.6510399,10200639.0250958,49472355.922638,9847369.12014244,26156612.9487541,6417715.97035003,23256864.6563917,167964610.214468,22094020.8339635,65325295.738728,35047212.3576911,185775248.191088,4828007.29414637,4386419.91295472,6196925.22779735,16677233.312938,13497813.0124875,2016576.47802227,16456439.6223422,161914.783494978,34414273.3926929,4121470.43228286,853732.655594055,38903730.361259,15323034.9586601,6535472.60533447,7977988.43585073,11981702.2331492,21255007.7577424,14719535.152408,1221722.13992043,22491449.4770359,8242940.86456572,6491313.86721531,6506033.44658837,4077311.69416369,16279804.6698655,19326748.7559585,13497813.0124875,4474737.38919304,5490385.41789071,3385494.41167325,17913675.0322315,31205413.9334963,20165761.8321795,55404328.7217203,103036.760807071,93277691.4749086,43717018.0760323,868452.23496711,7094816.62151057,14866730.9461385,11437077.7963461,15794061.4985979,28335104.79988,1545549.9380845,17339611.4366824,19312029.1765855,7977988.43585073,4224507.48789424,294390.703048159,9714892.90578495,529901.909386845,4312824.96413258,3665163.47171815,5063520.56411524,7389205.26092853,5460946.25914459,20725105.8483556,18090307.036665,19753616.5577771,32000268.2715981,19356187.9147046,529901.909386845,3120541.98295826,16853868.2654147,3562126.41610677,95117633.0004542,647658.544371285
"20200123L2","L2",106,"Closing-II",652310743.853129,32194512.2530039,12095991.1907565,79496723.1876394,12391015.1859764,14234915.7716624,7301848.19062453,31985538.8723355,118353864.564583,18328377.0909281,58746689.0585231,28998416.9195825,108777872.564504,4314728.70011878,6195508.82411178,29613050.4481445,22507886.5624981,31469245.0340153,3810728.86198333,32157635.1769441,516291.376072989,41438603.1818034,4007410.70471419,1585756.12877312,50043475.0439187,24388664.2242439,10141456.9146439,7006824.19540465,8309847.86689543,19828082.6051497,11739504.5813546,799023.83335533,2999413.49069046,11063405.9763633,1499705.51422164,11309258.8953387,3786143.32386107,16164866.9718999,11788673.1953519,13816966.5480784,8924481.39545744,7326433.72874678,4904776.69055854,24511591.9148551,42544945.0105633,21549057.9624717,41512359.7961702,245853.411424804,56484836.7870059,18525058.9336589,2274143.80945471,9993943.68591039,21917838.5720583,13632576.2432851,20750034.1291163,26294029.8863591,2704389.49547059,25826907.1242835,10350430.2953123,7990238.3335533,6478238.81914694,479414.300013198,13140867.9430872,528585.376257708,6207800.36204932,2446242.5763105,3503410.86657873,7461652.95729559,6711800.20018477,32169926.7148816,23933835.4623529,26121931.1195033,42458896.8582591,25802321.5861612,135219.474773529,5507118.68118301,24671396.6815262,5322728.37638969,102373387.897477,774438.295233075
"20200124L2","L2",107,"Closing-II",769660236.598966,37561428.0612887,2362691.17743293,101380950.556027,25130447.4098123,15693106.33357,7705595.60919648,31869487.6594868,158810468.771129,29265157.6421734,61067524.4467989,18190041.9081396,100441245.150898,1959960.67343683,7732445.56358947,64584712.6022624,15344070.3635316,72478252.5173816,2053931.48269114,35574620.120873,1503530.26065475,40273152.5213459,1449833.03928288,134243.859653914,50690475.2780136,26325217.9757252,12793437.5675901,4040739.42310685,16324052.0439571,22539541.0259883,20807795.5589425,308759.694741792,5383178.01964598,13988208.1335031,1664624.61218448,9182278.60287235,1933110.71904384,20217123.4364378,16673085.3265813,12887408.3768444,1691471.87916336,7880113.59421565,4470319.88149594,20767521.9710601,50542807.2473874,25466057.058947,36192139.5103566,187941.349767197,56999937.7567132,25264691.806949,818887.328895744,10806629.6271744,20754098.3375706,16659661.6930919,21693806.4301137,49978982.3918616,1785442.68841766,21787777.239368,9464191.03063526,9235975.82424422,6577948.58555894,93970.809254304,10806629.6271744,53697.4901132832,5571119.63815459,1584077.43641962,2201599.51331731,4389772.70573107,5262359.9434128,30943205.8878473,22794606.1867723,26620554.0369776,36460628.30463,19653298.580912,268487.719307827,3933344.9803631,23157063.102886,3315822.90346541,73632749.4954121,590672.122504704
"20191010L3","L3",1,"Closing-I",2897348.88544159,3591294.00119795,364701.222955119,4138345.33009397,425484.928626525,1605698.67868082,3130351.74241756,1195409.17093549,5551562.94819755,3013849.80839291,8899722.12670988,932014.461123819,16664818.7881557,491333.100542784,212741.958776604,1899485.24132819,7557419.16891405,197546.537895411,2583300.41352154,5191927.20256061,405224.030427162,9467035.36487858,932014.461123819,491333.100542784,26314205.2700485,3018915.28571108,3348160.18958565,60783.5034567426,55718.228353236,5333755.51210278,471072.202343421,511595.009815464,263395.720884987,22976176.0350992,162089.207741538,3748317.73162132,334309.370119416,15261732.1246884,1139690.94258225,8626196.46226187,288722.09640252,12227621.4180962,32124098.4618129,39691648.5853632,36100354.5841653,13027937.5132408,9370795.34012662,233003.868049284,1347368.435114,3495052.96537268,774989.719627134,36237117.4163893,77524333.725797,61776332.9668107,115595087.200525,1970399.90163594,3540641.25016289,9001028.63985333,800316.095144667,14106845.761225,34535178.7129565,845904.37993488,4128215.38653095,81044.7049781007,22707715.8479693,197546.537895411,96240.6313959522,40522.4030427162,20261.2015213581,18209733.7611651,19658407.6983492,21735178.5793735,33557576.9781158,9244162.45146564,91175.2551851139,612900.511885596,24348870.8457307,805381.572462837,46514599.8310489,440680.349507718
"20191011L3","L3",2,"Closing-I",4408379.68208398,5681739.50685897,274797.680885406,4172285.30106475,998562.143889582,1037265.44375575,6312613.73100128,704411.653479564,3537540.36040531,3522059.04045884,8859333.38055126,4094877.92827139,26558648.1051902,1048876.82024611,1451398.09640344,1493972.11278674,3998117.74595342,6316484.44751841,979210.107425988,7624677.62870346,479928.648950688,4574806.57722208,1277230.54129211,677318.957042736,23396535.5514444,1404953.36350302,4361934.94918356,42574.3256077032,607652.244222612,3862653.49070826,479928.648950688,263187.077456064,224483.004528876,15001649.4998973,104500.842291204,2755721.33413238,139334.198701266,14490757.4379927,1625565.65151477,7504695.46646579,298020.433866126,13681844.9422219,29190516.5605678,24546043.2705256,22510215.6828802,8925130.14991528,8410367.37149351,290279.773892892,3626559.88275004,3084704.40789145,1312063.89770218,26345776.4771517,58365551.8011891,44919800.4669254,77849118.4125076,1931326.74535413,476058.70549458,5867518.43846066,3405947.59473829,13112896.7709265,19680956.9194106,979210.107425988,3154371.89377259,158686.23516486,15218391.844453,108370.785747312,42574.3256077032,15481.5518647734,73537.5066433518,11959519.8814502,12187872.8294352,15075186.9292346,22068990.3337957,7342138.5147838,96760.18231797,340594.450249422,15814432.7121852,448966.009057752,30011040.4328289,216742.344555642
"20191014L3","L3",5,"Closing-I",90992658.8752642,91896384.8391561,1325904.73810135,129443885.714078,106415367.356134,6530573.2495985,19538948.5576893,27593322.144143,33556593.5326501,30218745.3644098,38741473.0125781,8377604.56128625,23457293.0357546,1128007.81858178,5791760.72492341,13021568.4360587,6392046.06631763,149919542.395196,18160271.307716,9531998.63580398,527722.477187562,14947757.1947887,4828666.34555844,7460685.46942636,11029412.7167233,29103930.673796,22461215.1760869,593688.117027417,28180414.3575693,15732745.0069688,15251197.8172864,4881438.85743032,52772.2477187562,3753431.03884854,26386.1238593781,7546440.14083535,554108.733123504,5910498.87663515,27019424.3794504,4874842.95382916,211088.726721897,2737564.14761169,1299518.48216541,2783739.43511677,13021568.4360587,10996430.5571862,13239254.3871474,2051524.13480848,10396145.215792,23450695.8113878,15976817.2139935,1609555.00826427,2519878.19652299,2321981.27700342,2117488.45388269,30865205.9933091,5237651.9917999,5897305.74866717,1833838.18371977,2671598.50777184,903725.963891916,5422354.46258586,1827240.95935297,3456586.31995201,903725.963891916,540915.605155533,250668.11062581,362809.037970744,573899.08545828,9571578.01970789,3126759.44151838,3885360.99776261,4096451.04525015,2592439.73996401,211088.726721897,1319307.51373454,2130681.58185066,1029060.01920482,12935812.4438841,732215.300308293
"20191016L3","L3",7,"Closing-I",157285426.417183,191700432.052534,2724399.04263985,163502896.020215,143215850.122977,5351500.13690571,13690108.2571571,30513276.2898906,101406044.581773,34736094.1242286,33607415.7173967,8990518.59379258,42413064.1187562,3454150.21232164,80418438.2628733,5516909.18136972,4631478.56727453,230182576.07781,11851137.8807446,4864998.70782856,398929.185018034,7569938.55036718,19459996.7791821,4475799.12286113,19635137.3715646,30630035.3862337,14449048.2269908,865969.466126094,31311134.6599267,18613486.5131572,24626626.7236547,4339578.87854896,48649.948120928,6081249.35871963,19459.99872705,8747268.85318794,525419.829279598,4942839.40396919,28761876.2096693,4573099.01910299,311360.836694666,3522259.36054379,1362200.49525386,2101679.31711839,14682568.3675448,19479457.9271512,20384347.7413476,418390.332987132,27925095.5436951,25259076.0492268,6217469.60303181,3055219.07943573,4222819.78220588,4602289.7671227,3600100.05668443,54137711.3552392,3823888.64931997,10197037.6967652,5507179.58131911,4271469.73032681,1138409.95475044,1800050.02834221,3201168.92379852,3035759.87933451,875699.066176704,97299.896241856,29189.9688725568,19459.99872705,1576259.48783879,13923628.3977112,3930920.09348031,4232549.38225649,4631478.56727453,4894189.45584826,194599.9872705,3570909.30866472,2704939.84253863,1673559.38408065,10372178.2891477,720019.62176331
"20191017L3","L3",8,"Closing-I",163641044.744261,233577218.720244,2769849.05635116,116243639.621978,178660223.481149,4669745.08026575,10969400.0014535,27168512.9418436,191739507.20335,30718318.3020668,38617886.8231224,8999506.74436103,41857709.0109303,2829845.54116051,130922834.942697,3719796.06763321,3619802.59340112,167630826.994886,7619583.59104496,4589749.10006978,329982.66780192,8579531.35069557,15229166.4337214,2449865.1355673,19808916.7867731,22898747.7625576,12859297.27835,939948.264263988,39387844.3799764,15679142.071142,21208839.4354758,5109719.96931782,189989.602391459,6229659.68936035,19998.9149949716,8049559.73307898,459974.384438688,4749741.06046171,24558655.8458843,2209879.1963299,329982.66780192,2809846.0457739,1309927.92148865,2039888.4889199,13689251.3200134,17799026.5402579,19658923.5733992,239985.939237408,24428664.1292476,31368282.8893021,3419813.64358645,2259876.93412118,3339817.66339049,3389815.40118178,2559859.35816794,36258016.4147691,2609857.09595923,8869515.02772426,5139718.2117225,2619855.8429773,859952.284068024,1099940.22465592,3369815.90579516,2239877.43873457,619966.344830616,179990.054833201,99994.474907334,29998.4425397244,1529916.36668993,13019287.2373915,3589804.35099644,3879788.02802514,4489753.62448721,5339707.16153717,189989.602391459,3499807.62243193,2039888.4889199,2219877.94334796,8929511.51253361,819955.294645284
"20191021L3","L3",12,"Closing-I",55384412.6822352,800201081.82688,713978.119845384,388659869.055134,63799174.0271477,19192449.38495,14432586.1706462,94619291.40494,388506872.5274,52885484.1541507,288413739.78831,1240963.51090409,67148075.6965361,2549926.23541267,185498687.365141,55656406.1309028,9315732.19354452,115154703.121201,883976.153856624,20433416.3016045,3178910.44687812,38401900.2761763,27811204.9649255,1121966.58997145,38707889.9258957,69918997.6732882,78996736.0249674,1393960.03863898,28916173.454371,19889429.4042695,7683778.31304026,2175937.37208886,254992.623541267,3484900.09659744,16999.496883583,17118510.8332679,1002969.66903881,9876717.19140547,50590549.8611292,2583925.84221492,118996.580357594,951971.961710664,407988.470126064,900974.25438252,13310619.5806748,9621725.2490143,44521723.9223168,1087970.38891966,8414757.939162,39863859.5284198,1784950.40823914,1444957.74596712,2158939.27156296,3909886.6672494,1427959.64544122,19770432.4833368,203994.235063032,7445787.87692544,2022940.84435397,1019971.17531516,322990.815420626,373988.863323816,2906916.99821059,747977.726647632,254992.623541267,1104968.48944555,135996.043183673,67998.1918793592,2668923.15634531,17764489.7395088,2022940.84435397,1478957.35276937,1767948.90196279,2651925.05581942,50998.3884782352,3314905.46833666,1053970.78211741,2498928.52808453,3705892.43218637,203994.235063032
"20191022L3","L3",13,"Closing-I",144963982.740625,409356569.728066,2611962.69284206,443002784.627231,94924257.0536329,19022656.2470022,24452792.018326,88067855.4146636,341823560.573501,69302957.8523004,214026364.67462,2646331.66343675,53339047.1641574,12200620.1406991,265578280.374708,9537105.71092923,13077003.1064003,249717473.160421,3952314.728822,9313712.55895643,120287.959152963,38028129.7276713,58288031.0988694,3144666.26638172,21119101.5705662,68942092.2558773,38079681.4645991,1580924.51635742,39883999.1329293,27356882.3664018,14417351.7044518,2285469.50494208,257759.716017581,5138008.11609007,51552.0807206538,11856940.7485376,773279.491845588,17338628.2567892,66776912.4290524,5756628.95922379,738910.521250902,1495003.80883493,756093.287584026,2594779.92650894,10379119.7060358,9090319.40698363,20912894.6228549,103103.817648464,21033180.8630437,101797848.334792,1495003.80883493,2182366.03108646,3075931.76312079,4244442.38405573,2766617.90362549,46362355.8470709,687358.784323092,7921812.22397712,4553752.80562259,2044893.58663615,773279.491845588,395231.129089356,3419611.15528234,2371386.77453614,927934.702629018,240575.574513082,85920.0199368084,171839.696080773,1821500.43466335,10997740.5491695,3196218.00330953,3677369.83992139,6048756.61445752,5275480.56054037,154655.898369118,4175704.44286636,3093114.52945391,2440124.71572551,13644072.2126062,274943.513729237
